-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # hashCode: 43095624
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # id: com.android.systemui:id/deadzone
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # parent: androidx.test.uiautomator.UiObject2@13ef8
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # hashCode: 208790586
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # description: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # id: com.google.android.inputmethod.latin:id/label
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # text: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # parent: androidx.test.uiautomator.UiObject2@fb66
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # hashCode: 249825515
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # description: null
